phrase_norm,count,phrase_len,n_words,source_split
nhãi ranh,1,9,2,train
eo,1,2,1,train
bóng khùng,1,10,2,train
bọn chó sủa bậy,1,15,4,train
mất văn hóa,1,11,3,train
bó tay,1,6,2,train
eo ơi,1,5,2,train
nó xấu mà ko giấy nào bút nào mà tả nổi,1,39,11,train
bẩn miệng,1,9,2,train
tệ hơn đống phân,1,16,4,train
ngu gia truyền,1,14,3,train
lồn trâu,1,8,2,train
con sâu làm rầu nồi canh,1,24,6,train
xam lom,1,7,2,train
beo,1,3,1,train
cụp đuôi,1,8,2,train
chửi tục,1,8,2,train
thằng ko não,1,12,3,train
mã cha,1,6,2,train
chết người bị ém,1,16,4,train
giết ng,1,7,2,train
thằng bụng phệ óc mỡ,1,20,5,train
kiếp bóng gió,1,13,3,train
sao ko giữ được cái nết vậy,1,27,7,train
sờ trym,1,7,2,train
con bóng ngu ngục,1,19,4,train
đánh chết mẹ,1,12,3,train
dit me,1,6,2,train
con mẹ chúng m,1,14,4,train
"ăn,cuc",1,6,1,train
mọi chuyện sẽ được che chắn nếu chủ trường là con gái của tướng vệ và thủ tướng phúc,1,84,19,train
dơ dơ,1,5,2,train
ớn cả lạnh,1,10,3,train
ghê quá,1,7,2,train
djtmenhaong,1,11,1,train
óc con chó vãi lồn,1,18,5,train
cúttttttttt⛏⛏🔪🔪,1,15,1,train
bê đe,1,5,2,train
xâu,1,3,1,train
tôi ngay,1,8,2,train
lưa đao,1,7,2,train
ko biêt tu thân,1,15,4,train
suc vât,1,7,2,train
chêt me,1,7,2,train
con đàn bà khó ưa,1,17,5,train
kẻ nhận thức kém,1,16,4,train
"bảo yêu nước, thương nước, xong đi du lịch về lây bệnh cho nước mà là yêu nước à",1,80,19,train
để ông khác còn ăn,1,18,5,train
độc,1,3,1,train
"cs nghèo chỉ có tiền ăn bánh mì, ko có tiền làm tường chắn gió",1,62,15,train
trúng phong,1,11,2,train
ép phải nhận tiền,1,17,4,train
ôi thơm tho j,1,13,4,train
cu li sai vat cho tui no,1,24,7,train
vailin,1,6,1,train
éo,1,3,1,train
lũ óc chó,1,12,3,train
dkm nó,1,6,2,train
giọng như vịt đực,1,17,4,train
nhiều tiền để mang dịch về,1,26,6,train
lão đại biểu,1,12,3,train
ngước độc tài,1,13,3,train
thua súc sinh,1,13,3,train
"người khổ, rất khổ là nhờ ơn sự lãnh đạo của đám ngợm cộng sản đoảng và boác",1,76,18,train
em gái ngon ngọt nc,1,19,5,train
buồi to,1,7,2,train
loại giả đạo đức,1,16,4,train
ko được giáo dục,1,16,4,train
học chả hết cấp 1 mà cũng có bằng đh,1,36,10,train
cạn tàu gáo máng,1,16,4,train
a dg nhai bcs,1,13,4,train
thông ass,1,9,2,train
nhật this nhật that,1,19,4,train
nỗi nhục,1,8,2,train
ddjtme,1,6,1,train
hoang dâm trụy lạc,1,18,4,train
con đàn bà ngu,1,14,4,train
tai bã như tai trâu,1,19,5,train
cô bé phóng viên như thể sắp bợp cho ngài lãnh đạo 1 tai cho chừa ngu người,1,75,18,train
vo hoc,1,6,2,train
lũ ko có não,1,12,4,train
ngu như con chó,1,15,4,train
chống phá nửa mùa,1,17,4,train
xàm le xàm lông xàm lá,1,22,6,train
đm mày,1,6,2,train
ông cễnh con,1,12,3,train
hối lộ,1,8,2,train
bọn phản động,1,16,3,train
thứ chó lưu vong,1,18,4,train
hung hãn,1,8,2,train
bọn mất dạy,1,11,3,train
tay cô gái to,1,13,4,train
giặc,1,4,1,train
bắt cóc,1,7,2,train
nhục mặt quá,1,12,3,train
cắm đầu,1,7,2,train
vãi lồn,1,9,2,train
thằng bệnh hoạn,1,15,3,train
lx má,1,5,2,train
con c**,1,7,2,train
chuyện hài nhà sản,1,18,4,train
tán vô họng,1,11,3,train
thang ml,1,8,2,train
ngu vãi lìn,1,11,3,train
đm chúng nó,1,11,3,train
thứ xạo lồn,1,11,3,train
cs như bầy sư tử săn mồi,1,24,7,train
a rất thượng đẳng,1,17,4,train
thích lây bệnh,1,14,3,train
rác rưởi,1,8,2,train
lùn,1,3,1,train
cuồng phâ,1,9,2,train
dme,1,3,1,train
dân thích làm nô lệ .chưa thích làm người,1,41,9,train
thằng mặt heo,1,13,3,train
ổng,1,3,1,train
gian tà,1,7,2,train
gian dâm,1,8,2,train
lãnh đạo già,1,12,3,train
mieng cho k the moc nga voi,1,27,7,train
"phải dương tính covid-19 thì mới thấy được giá trị của cuộc sống,thay đổi thái độ",1,81,16,train
cái qằn qè,1,10,3,train
dân chịu hậu quả,1,16,4,train
chửi cái lũ cô hồn,1,18,5,train
tối ngày đòi bình đẳng ko kì thị,1,32,8,train
chưa nói động chạm gì mà dựng lồn,1,33,8,train
noi ko so meo mieng,1,19,5,train
lời nói nhanh hơn não là biết con người ntn,1,43,10,train
đầu cha,1,7,2,train
đá xéo móc họng,1,15,4,train
chả thèm,1,8,2,train
con nhỏ ất ơ,1,12,4,train
đá xéo,1,6,2,train
tphcm trong tương lai sẽ là thủ đô,1,34,8,train
họa từ miệng mà ra,1,18,5,train
tsb,1,3,1,train
đuỹ lone khốn nạn,1,17,4,train
tụi trung +,1,11,3,train
đjt con me cay vãi cả lol,1,25,7,train
cay vãi lol,1,11,3,train
đjt con me m xác định lập acc mới,1,33,9,train
con chó lol con me,1,18,5,train
cay vãi lon t,1,13,4,train
am dụng chức quyền,1,18,4,train
dí đái,1,6,2,train
loan luân,1,9,2,train
mõm lồn,1,7,2,train
cgai mẹ,1,7,2,train
chửi này chửi nọ,1,16,4,train
chó sủa,1,7,2,train
lá mọc đinh,1,11,3,train
bạo lưc,1,7,2,train
xem lai mình,1,12,3,train
loai bê đê,1,10,3,train
bịt miệng dân,1,13,3,train
caiditmemay,1,11,1,train
chưa bị bắt nữa hả,1,18,5,train
bọn lừa đảo,1,11,3,train
bọn óc vật,1,10,3,train
trâu bò chứ ko phải người,1,25,6,train
"hít thủy ngân, bụi mịn ô nhiễm",1,30,7,train
uống nước thải qua đường ống làm bằng vật liệu phế thải trung quốc,1,66,14,train
ăn thực phẩm chứa chất độc hại,1,30,7,train
tức muốn điên,1,13,3,train
tam than,1,8,2,train
ghê vãi,1,7,2,train
nhốt vào cho chết,1,17,4,train
loại này đừng để đẻ trứng,1,25,6,train
lôi cái đuôi,1,12,3,train
con bóng lải cái,1,16,4,train
thứ ngu,1,7,2,train
đi học lại lớp mẫu giáo đi,1,26,7,train
ba chó,1,6,2,train
địtmẹ,1,5,1,train
bọn dân đen như các ông thì làm gì,1,34,9,train
lam di 9 phuong con 1 phuong de lay chong,1,41,10,train
cm mày,1,7,2,train
nham nhi,1,8,2,train
băng đảng,1,9,2,train
vượn,1,4,1,train
đám giặc,1,8,2,train
lò tôn,1,6,2,train
choá,1,4,1,train
trừng,1,5,1,train
xóc óc,1,6,2,train
nơi cung cấp cứt,1,16,4,train
tau khửa,1,8,2,train
ăn hùa,1,6,2,train
mất hình tượng vl,1,17,4,train
khiêu dâm,1,9,2,train
dien dien,1,9,2,train
ng nhu linh dien thi ai them,1,28,7,train
nước đái,1,8,2,train
kặc,1,3,1,train
thằng tung cựa,1,14,3,train
đập sắp mặt,1,11,3,train
giựt,1,4,1,train
cu để bú,1,8,3,train
óc vật,1,6,2,train
ngửa tay xin tiền,1,17,4,train
bệnh...thành tích,1,17,2,train
ném đá,1,6,2,train
dối trá,1,7,2,train
chó điên,1,8,2,train
nó chửi,1,7,2,train
đến con chó nó còn có ý cầu tiến>>chán lãnh đạovn,1,49,11,train
lưư manh,1,8,2,train
coi thương mang ̣sống,1,22,4,train
ko đử tư cách,1,15,4,train
cẹc,1,3,1,train
"linh tinh bừa bãi, bậy bạ",1,25,6,train
đạn,1,3,1,train
thụt,1,4,1,train
buồn ỉa,1,7,2,train
giải phẫu cho thành con gái,1,27,6,train
ngừoi đàn bà có cây cà rem 9 giữa,1,33,9,train
bọn tàu cộng,1,12,3,train
nắm đầu,1,7,2,train
bọn bú lồn ăn tục nói phét,1,26,7,train
bọn cẩu tham quan,1,17,4,train
bu càng,1,7,2,train
miệng xấu,1,9,2,train
lũ chó đói,1,10,3,train
hít bụi mịn như hít cỏ mỹ,1,25,7,train
sống lang thang ngoài đường,1,27,5,train
đầu bồi,1,7,2,train
thắng dien,1,10,2,train
thứ thần kinh,1,13,3,train
tnao,1,4,1,train
thiếu iot,1,9,2,train
con bà già,1,10,3,train
chực cắn,1,8,2,train
ccj,1,3,1,train
gân,1,3,1,train
thua cả bò,1,10,3,train
vắt,1,3,1,train
t chúng tao,1,11,3,train
chậm,1,4,1,train
bục ruột,1,8,2,train
hl v,1,4,2,train
cai lờ,1,6,2,train
lo canh me gd ra sản phẩm để đạo,1,32,9,train
kut,1,3,1,train
thối đến fat tởm,1,16,4,train
đạo,1,3,1,train
không thể bắt kịp nền văn minh nhân loại,1,40,9,train
bựa,1,3,1,train
lão già,1,7,2,train
toanggg,1,7,1,train
thúi,1,5,1,train
hầm cầu,1,9,2,train
stupid,1,6,1,train
thượng đẳng lỗi thời,1,20,4,train
nguu,1,4,1,train
dit cu may,1,10,3,train
mèo rồi lại hoàn mèo,1,20,5,train
lỗn,1,3,1,train
cây nọc mọc giữa háng,1,21,5,train
hai trái dâu lủng lẳng,1,22,5,train
bệnh nặng giữ lắm rồi,1,21,5,train
đồ bóng khùng,1,13,3,train
khùng điên,1,10,2,train
mõm mày,1,7,2,train
thằng lỏng bao,1,14,3,train
chet me,1,7,2,train
chung m,1,7,2,train
bản mặt dân chủ giả hiệu,1,24,6,train
không nên du nhập vào việt nam,1,30,7,train
nhân cách sống như lon,1,22,5,train
tụi bán nước,1,12,3,train
hãnh diện,1,9,2,train
hãnh diện ghê,1,13,3,train
tui trộm cắp,1,12,3,train
thảm,1,4,1,train
im cmm,1,6,2,train
ăn ko ngồi rỗi,1,14,4,train
lắm trò hành,1,12,3,train
nâng điểm vào ngành,1,19,4,train
"tên của nó là bảo hiểm "" bắt buộc "" mà",1,38,11,train
"""phản động""",1,11,2,train
"""xuyên tạc đường nối chính sách của đãng và nhà lước, bôi nhọ các anh hùng nực nượng vũ trang nhân dân""",1,103,22,train
ném lựu đạn,1,11,3,train
pháo kích,1,9,2,train
khủng mẹ,1,8,2,train
"""đi nàm kách mệnh""",1,18,4,train
nhà quê,1,7,2,train
nghi án,1,7,2,train
mị nhau,1,7,2,train
chết hàng loạt,1,14,3,train
dmd,1,3,1,train
giả sửa,1,7,2,train
đỷ mẹ,1,5,2,train
ko ra con người,1,15,4,train
djt mẹ,1,6,2,train
dm chúng nó,1,11,3,train
vl fake,1,7,2,train
đụmámài,1,7,1,train
bong gia,1,8,2,train
cai cau tieu,1,12,3,train
ngu cu đen,1,10,3,train
ăn mài,1,6,2,train
ngu như 1 con lợn,1,17,5,train
lồn mẹ nhà mày,1,14,4,train
vãi lìn,1,7,2,train
chj co tien chon duoi dat thoi,1,30,7,train
ko gjam gui ngan hang so bj lô,1,30,8,train
dùng não để trồng cây,1,21,5,train
bao che,1,7,2,train
lạm quyền,1,9,2,train
chộp giật,1,9,2,train
bon tao,1,7,2,train
mỏ như cái lồn,1,14,4,train
khét vãi l,1,10,3,train
câm như con chó,1,15,4,train
nhìn k ưa miếng nào,1,19,5,train
nghèo mạt,1,9,2,train
mất ói,1,6,2,train
nổ banh xác,1,11,3,train
trời đã sinh ra tuấn tại sao còn sinh ra tiệp,1,45,11,train
kệ cmn,1,6,2,train
géc,1,3,1,train
cắn bậy,1,7,2,train
mua hoạ,1,7,2,train
thảm hoạ,1,8,2,train
mẹ kiếp,1,7,2,train
bò đỏ tụi tao,1,13,4,train
cho may 1 trân,1,14,4,train
quy lay,1,7,2,train
bọn côn đồ,1,10,3,train
quái thai,1,9,2,train
nhảy dựng dựng,1,14,3,train
dựng dựng,1,9,2,train
không biết nhìn lại bản thân,1,28,6,train
đứa thiếu giáo dục,1,18,4,train
ko khá nổi,1,10,3,train
chơi bẩn bựa,1,12,3,train
dien thoi dai,1,13,3,train
xau ho,1,6,2,train
con đười ươi,1,12,3,train
thốn đcđ,1,8,2,train
quỹ đầu cằc,1,11,3,train
l.o.n,1,5,1,train
vãi cả nồi,1,10,3,train
bợ đít cs,1,11,3,train
bợ đít,1,8,2,train
lủ chó chúng mày,1,20,4,train
chịt chịt đụ đụ,1,15,4,train
vô ý thức không chừa một độ tuổi nào,1,36,9,train
cách ly ở nhà tang lễ,1,21,6,train
lật lộng,1,8,2,train
quẹt mỏ như gà,1,15,4,train
hề già,1,6,2,train
lũ ducanger,1,11,2,train
theo công giáo nên suốt ngày thiên đường,1,40,8,train
xoạc háng,1,9,2,train
con cật,1,7,2,train
bán linh hồn và não cho quỷ,1,27,7,train
giữ thể diện,1,12,3,train
nói triết lí thì sống như,1,25,6,train
ngu động trời,1,13,3,train
kẻ tồi tệ,1,9,3,train
lốn màu,1,7,2,train
vị tù,1,5,2,train
"quan chức ở tù cũng sướng.. có trà bưng nước rót, ở phòng riêng, người nhà vô chơi thoải mái",1,92,20,train
bớt đi một loại phân,1,20,5,train
làm đc cơm cháo gì,1,18,5,train
làm nail,1,8,2,train
cái đám đu càng thọt,1,20,5,train
ra rả,1,5,2,train
to tát,1,6,2,train
lên mặt dạy đời,1,15,4,train
mồm mày,1,7,2,train
ăn phải gai tre,1,15,4,train
nhảm lol,1,8,2,train
mả cụ mày,1,9,3,train
đm may,1,6,2,train
ngứa bà cẹt,1,11,3,train
da,1,2,1,train
đủ khắm với trình của thắm,1,32,6,train
chịch,1,6,1,train
chửi thuê,1,10,2,train
lũ chó lợn,1,10,3,train
clmmm,1,5,1,train
lừa dối,1,7,2,train
chính quyền vn rất có tính giải trí,1,35,8,train
ngứa mắt,1,8,2,train
giết người dấu tay,1,18,4,train
cảnh sát cướp đất,1,17,4,train
cộng sản cướp đất,1,17,4,train
con đi cho,1,10,3,train
mộ noi,1,6,2,train
thả nó và khu bảo tồn thiên nhiên cho về với giống loài của nó,1,62,15,train
bạo hành,1,8,2,train
lạm dụng,1,8,2,train
hành hạ,1,7,2,train
đéll,1,4,1,train
dắt mũi dư luận,1,15,4,train
toàn dân đã ko còn tinh cs,1,26,7,train
ngái dứa,1,8,2,train
đốt nhà,1,7,2,train
xù lông,1,7,2,train
kiêu ngạo,1,9,2,train
miệt thị,1,8,2,train
cuồng cộng,1,10,2,train
sỉ vả,1,5,2,train
đĩ nhà giàu,1,11,3,train
khẩu phật tâm xà,1,16,4,train
lon ma m,1,8,3,train
nhảy lên như chó điên,1,21,5,train
như đúng rồi,1,12,3,train
hình người mà óc chó,1,20,5,train
đảng nô,1,7,2,train
đè đầu cưỡi cổ,1,14,4,train
hãm lone,1,8,2,train
rẫy chết,1,8,2,train
cha khùng,1,9,2,train
cljv,1,4,1,train
đạo đức rách,1,12,3,train
cứ ngồi đấy mà nói đạo lý,1,25,7,train
nhảm vl,1,7,2,train
vào tù,1,6,2,train
nói không sợ bị hậu quả,1,23,6,train
xàm loinf,1,9,2,train
lưu manh giả danh trí thức,1,26,6,train
đệt,1,3,1,train
khùng khí chuột,1,15,3,train
xiaolin,1,7,1,train
mây,1,3,1,train
dân mình khi nào mới thoát khỏi sự cai trị,1,42,10,train
đáng khinh,1,10,2,train
chịu khó đọc báo dùm,1,20,5,train
lủ ngu các người,1,16,4,train
riêu rao,1,8,2,train
ko khôn ra,1,10,3,train
có vấn đề về nảo bộ,1,19,6,train
bóng lộ,1,7,2,train
đánh người,1,10,2,train
đạp con mái,1,11,3,train
con mái,1,7,2,train
bánh tráng chỉ xếp thứ 2 sau pha lật mặt của vũ khắc tiệp,1,57,14,train
dễ vl,1,5,2,train
ngực lép,1,8,2,train
éo cần phải động não,1,20,5,train
bú c,1,4,2,train
phanh,1,5,1,train
chùi âm đạo,1,11,3,train
"bán rẻ lương tâm, đạo đức",1,28,6,train
văn hóa rừng rú,1,18,4,train
xứ sở lừa,1,11,3,train
gần toàn gái xinh mà hành xử kém,1,32,8,train
ke me m,1,7,3,train
con mất day,1,11,3,train
cục cứt,1,7,2,train
dẫm,1,3,1,train
việt+,1,5,1,train
ngồi trên công lý,1,17,4,train
vô luân vô pháp,1,15,4,train
phân biệt vùng miền bàn phím vãi lồng,1,37,8,train
nam kỳ,1,6,2,train
coi thử có đi răng hàm mặt chỉnh hình không,1,43,10,train
đkm lũ phân biệt vùng miền,1,26,6,train
đkm lũ phản động,1,16,4,train
ke khung bo lai cam co do sao vang,1,34,9,train
thằng lưu manh,1,14,3,train
phà vài hơi vào mẹt,1,19,5,train
viết sách dạy người,1,19,4,train
ngu quá lợn,1,11,3,train
bốc phét ăn tiền,1,16,4,train
dân đen ăn lồn,1,14,4,train
con này,1,7,2,train
lên án,1,6,2,train
thủ đoạn,1,8,2,train
che mắt,1,7,2,train
đú vcl,1,6,2,train
thật là nhục nhã,1,16,4,train
what đờ phắc,1,12,3,train
ngông cuồng,1,11,2,train
vai lin,1,7,2,train
sặc,1,4,1,train
tổ cha bọn nó,1,16,4,train
mẹ,1,3,1,train
tụi,1,4,1,train
im cmnm,1,7,2,train
sống ko bằng chết,1,17,4,train
thằng mất dạy,1,13,3,train
sâu mọt,1,7,2,train
cai dau trong rong,1,18,4,train
thui,1,4,1,train
mo mieng ra cai gi cung thui,1,28,7,train
nghèo đói bệnh tật,1,18,4,train
lết,1,3,1,train
bợ dái,1,6,2,train
ngu lol,1,7,2,train
hùa theo thể hiện đầu óc,1,24,6,train
việt tân tài trợ phan anh,1,25,6,train
than với rên,1,12,3,train
đ*t con mẹ,1,10,3,train
c** mũi,1,7,2,train
sướng,1,5,1,train
sinh vật hạ đẳng,1,16,4,train
hài cốt khỉ đột,1,15,4,train
hỗn láo,1,7,2,train
quẫy,1,4,1,train
cho vào rừng sống lại với bản năng,1,34,8,train
kệ cha,1,6,2,train
ganh nạnh,1,9,2,train
thúi nát,1,8,2,train
ám ảnh,1,6,2,train
bo tat ngua,1,11,3,train
sửu nhi,1,8,2,train
cmnđ,1,4,1,train
đập nát,1,7,2,train
v lin,1,5,2,train
lũ cướp,1,7,2,train
đàn bà,1,6,2,train
mạng ng rẻ,1,10,3,train
vcd,1,3,1,train
gào mồm ăn vạ,1,13,4,train
"""bỏ ống""",1,8,2,train
ko làm việc đàng hoàng,1,22,5,train
hăm doạ bắt bớ,1,14,4,train
hay ho chỗ nào,1,14,4,train
ý thức như đầu buooi,1,20,5,train
khiep,1,5,1,train
câm mõm,1,7,2,train
vãi trò hề,1,10,3,train
tên súc vật,1,11,3,train
vô tù,1,5,2,train
do khung,1,8,2,train
má mắc nếttt,1,12,3,train
rên rỉ,1,6,2,train
lăng mạ,1,7,2,train
bắc hàn,1,7,2,train
nghèo bền,1,9,2,train
con khỉ trần dần vẫn còn răng à?,1,32,8,train
ăn vạ,1,5,2,train
bố giang hồ mõm,1,15,4,train
cđl,1,3,1,train
đ*t,1,3,1,train
đến các nước tư bản đa đảng dân họ còn dám biểu tình đập phá nên họ mới có thể đứng ở phía trên,1,95,24,train
cướp tiền 1 cách công khai để đút vào túi mình,1,46,11,train
nhà xác,1,7,2,train
chơi,1,4,1,train
đáo,1,3,1,train
tien tri cau tieu,1,17,4,train
phang mẹ nhau,1,13,3,train
đập chetme nó,1,13,3,train
vuốt chim vc,1,12,3,train
mặt mày dao kéo nhiều quá,1,30,6,train
ngụy biện,1,9,2,train
bắt bớ,1,6,2,train
ngựa loz,1,8,2,train
hai hòn dái,1,11,3,train
sang vũ hán mà ở cho đợ ngột ngạt 😒,1,35,10,train
bóp dái cả team,1,15,4,train
đánh xịt máu mỏ,1,15,4,train
nứng nứng,1,9,2,train
rẫy,1,3,1,train
"hấp hối vì hết tiền, nợ ngập đầu, tài nguyên cạn kiệt",1,53,12,train
ngập ngụa trong chất độc,1,24,5,train
nó chìa tay ra cứu mình,1,23,6,train
vãi lz,1,6,2,train
chẳng ưa,1,8,2,train
pháo,1,4,1,train
cmmr,1,4,1,train
đệt mệ,1,6,2,train
quần đùi,1,8,2,train
bu lu bu la,1,11,4,train
bán dồ giả,1,10,3,train
ở truồng cũng nói sang,1,22,5,train
bọn không có tiền,1,17,4,train
ý kiến lọ chai,1,14,4,train
thằng trẻ con,1,13,3,train
vô văn hoá,1,10,3,train
húp,1,3,1,train
đcm m,1,5,2,train
mặt con,1,7,2,train
con linh cẩu ăn xác thối,1,24,6,train
xúc phạm,1,8,2,train
linh cẩu,1,8,2,train
con lon giả,1,11,3,train
alibaba,1,7,1,train
trộm cắp,1,8,2,train
lũ óc chó,1,9,3,train
dí lồn,1,6,2,train
hán nô,1,6,2,train
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh),1,96,22,train
khỉ đầu chó,1,11,3,train
xúc vật,1,7,2,train
sao hiểu tiếng người,1,20,4,train
sống chui. rút,1,14,3,train
thủ lợi,1,7,2,train
đũy,1,3,1,train
loại ngu dốt như mày,1,20,5,train
nên học lại,1,11,3,train
thứ ko nhân cách,1,16,4,train
nghiệp kiep truoc,1,17,3,train
méo đc miếng đức,1,16,4,train
hô hào,1,6,2,train
chị ba phi,1,10,3,train
trung cong,1,10,2,train
coi dân nhu đồ ngu,1,18,5,train
lịt pẹ,1,6,2,train
nha` que vl,1,11,3,train
cá lóc chùi đít,1,15,4,train
oe,1,2,1,train
đù má,1,5,2,train
loằn,1,4,1,train
tháh rãh cmn hág,1,16,4,train
dí buồi vào mặt,1,15,4,train
ham hố,1,6,2,train
lũ điên,1,7,2,train
ch ó,1,4,2,train
tổ sư bố con thần kinh,1,22,6,train
đảng búa liềm,1,13,3,train
huyền thoại của bác,1,19,4,train
tài lanh,1,8,2,train
đẹp mà ý thức như cc,1,20,6,train
vứt,1,3,1,train
bóp dú,1,6,2,train
bóp lồnn,1,8,2,train
taoo,1,4,1,train
ngon vailon,1,11,2,train
lão vô văn hóa,1,14,4,train
mẹ lồn,1,6,2,train
sản phẩm của 1 nền giáo dục thối nát,1,36,9,train
phản đôôộoong,1,13,2,train
người rừng,1,10,2,train
chém giết,1,9,2,train
mày óc chó,1,10,3,train
lũ thổ dân mồm vẩu,1,18,5,train
chủ tịt,1,7,2,train
mất phần ăn,1,11,3,train
""" tài giỏi""",1,11,3,train
việt tân,1,8,2,train
thằng não chó bị nhồi sọ,1,24,6,train
chặt đầu và tứ chi,1,18,5,train
chia rẻ,1,7,2,train
láo phét,1,8,2,train
gïa tąo,1,7,2,train
xe bắt chó kg bắt nó,1,20,6,train
ổ kinh tởm thối tha hèn hạ,1,26,7,train
cm nó,1,5,2,train
mie nó,1,6,2,train
ý thức của chị nhung còn thua điểm lí,1,37,9,train
dlv mất dại,1,11,3,train
xóa cờ hó vnch,1,14,4,train
tet mo nó,1,9,3,train
a dua,1,5,2,train
đien,1,4,1,train
bắt giam,1,8,2,train
lũ chó hại dân,1,14,4,train
o gan kho dan,1,13,4,train
thứ súc vật,1,11,3,train
"phải chi nhật có một vị ""cha già dân tộc"" như ông hồ thì giờ đã phát triển ngang ngữa đông lào",1,94,22,train
thứ mắc dạy,1,11,3,train
sâu mọt hại nuớc hại dân,1,24,6,train
gòa,1,3,1,train
xạo lon,1,7,2,train
chết tiệt,1,9,2,train
thôn tính,1,9,2,train
ll,1,2,1,train
thằng lìn,1,9,2,train
thờ satan,1,9,2,train
sản phẩm của satan,1,18,4,train
vô thần,1,7,2,train
vô thần vô,1,10,3,train
vàbg mã,1,7,2,train
chả có tí hành kinh nào văn hoá,1,31,8,train
k biết xem thời gian,1,22,5,train
chậm tiến,1,11,2,train
không có đứa nào là người tốt,1,29,7,train
con đỷ mẹ mày con chó,1,21,6,train
trộm cươp,1,9,2,train
show hàng,1,9,2,train
vấn đề về thần kinh,1,19,5,train
ditmevualonetaolam,1,18,1,train
cái vẹo gì,1,10,3,train
hẹo,1,3,1,train
dăm ba thằng,1,12,3,train
xám khí đú,1,10,3,train
mục xương,1,9,2,train
tởn,1,3,1,train
xe chở tiền nó lùi vào tận cửa phòng khách,1,42,10,train
chết mẹ nhà nó,1,14,4,train
gia,1,3,1,train
bo` cho' do,1,11,3,train
baker,1,5,1,train
sống cũng éo để làm gì,1,22,6,train
đúng sai mà còn k biết thì biết gì,1,34,9,train
phân bò,1,7,2,train
chết mẹ nó,1,10,3,train
mất dại,1,7,2,train
đánh chết mẹ nó,1,15,4,train
cú vl,1,5,2,train
đjtme,1,5,1,train
thằng bd,1,8,2,train
nỗ banh,1,7,2,train
mỉa mai trào phúng,1,18,4,train
ông đầu trọc,1,12,3,train
xoay vòng vòng như con rối,1,26,6,train
cái não của bạn sẽ bé đi,1,24,7,train
nhàm,1,4,1,train
lồồn,1,4,1,train
cha,1,3,1,train
thằg óc chó,1,14,3,train
đập,1,4,1,train
go go,1,5,2,train
thâm,1,4,1,train
dái chó,1,7,2,train
dương tính với bệnh thần kinh,1,29,6,train
lông lon,1,8,2,train
lũ sâu mọt thối nát,1,19,5,train
thông đít nhau,1,14,3,train
thằng ngu dốt,1,13,3,train
có miến ziên nào chết liền,1,26,6,train
chết cdm,1,8,2,train
bạo dâm,1,7,2,train
12 con giáp không dóng còn nào,1,30,7,train
trên đầu trên cổ,1,16,4,train
không giống ai và con gì luôn,1,29,7,train
ô già,1,5,2,train
ô nhiễm chết lần chết mòn,1,25,6,train
dân tộc suy vong,1,16,4,train
tầng lớp thanh niên vn bị cs dắt mũi như những con lừa,1,54,13,train
thằng ml,1,8,2,train
con thùng thần khùng,1,20,4,train
tuc tiu hay ho gi,1,17,5,train
dung hết xài rồi vứt,1,20,5,train
địa phủ,1,7,2,train
diêm vương,1,10,2,train
ngon,1,4,1,train
màyyy,1,5,1,train
dị hợm,1,6,2,train
chúng có biết chữ để đọc báo ko,1,31,8,train
chet con di me,1,14,4,train
thằng liệt não,1,14,3,train
dân nghèo rớt ra xây cái nhà ga 900mil usd,1,42,10,train
2`,1,2,1,train
đậu,1,3,1,train
hết thời,1,8,2,train
ra cái vẻ tiếc,1,14,4,train
vớ vẩn vl,1,9,3,train
mãi cũng ko sửa đc,1,18,5,train
nói trên đầu,1,12,3,train
chửi chửi,1,9,2,train
k-icm ko phải là con trai,1,25,6,train
ẩu,1,2,1,train
giật đồ,1,7,2,train
dcu m,1,5,2,train
khẩu súng,1,9,2,train
bùm,1,3,1,train
đâm đầu chết mẹ đi,1,18,5,train
hoan tưởng,1,10,2,train
sản sủa,1,7,2,train
cái bọn bang đảng búa liềm,1,26,6,train
miệng thì bù lu bù loa,1,22,6,train
thằng đầy tớ,1,12,3,train
ăn rồi bị họ chửi rủa như chó mà cũng lầy hoài,1,46,12,train
dai như đĩa đói,1,15,4,train
ăn mặc kiểu lồn,1,15,4,train
vler,1,4,1,train
ai sống hai mặt thì đeo 2 cái,1,29,8,train
kă.c,1,4,1,train
nên đeo bcs thay khẩu trang,1,27,6,train
tụi giang hồ,1,12,3,train
chẳng ra gì,1,11,3,train
đáp lồn má mấy thằng,1,20,5,train
bóp vú bên đường,1,16,4,train
i thức kém,1,10,3,train
kệ cha chúng mày,1,16,4,train
đẻng,1,4,1,train
óc bò,1,5,2,train
đách l,1,6,2,train
đất nước sẽ đi về đâu vs những thằng ngu,1,40,10,train
kêu gọi đc cả đống tiền như ngta k mà ngồi rảnh lồn đi phán,1,59,15,train
lâm thồn,1,8,2,train
bù lu bù loa,1,12,4,train
không hèn không phải là cộng sản,1,32,7,train
nước bọt,1,8,2,train
chúng mày ngu lắm,1,17,4,train
chả có đéo,1,10,3,train
đéo mẹ,1,6,2,train
chết cha,1,8,2,train
n loạn vl,1,9,3,train
tự vẫn,1,6,2,train
vay cho con cháu du học xây nhà,1,31,8,train
làm ăn thua cả con chó,1,22,6,train
bốc cứt,1,7,2,train
cái bài,1,7,2,train
đi nhuyễn,1,9,2,train
